station,date,co,no2,o3,pm10,pm25,humidity,so2,year,month,day,day_of_week,,AQI_PM25,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI_O3,FINAL_AQI
Bollaram Industrial Area,01-03-2023,1.45415,5.177915684,17.19951579,123,55.47368421,46.76315789,10.04838942,2023,3,1,Wednesday,,92.35208711,115.6174497,6.472394605,12.56048678,73.25335,17.19951579,115.6174497
Bollaram Industrial Area,02-03-2023,1.207975,6.502236364,18.12198182,136.8636364,64.68181818,48.41363636,11.9019455,2023,3,2,Thursday,,113.5689655,124.8288591,8.127795455,14.87743188,61.190775,18.12198182,124.8288591
Bollaram Industrial Area,03-03-2023,1.431727083,8.170166667,16.98666667,174.1666667,82.5,44.4125,19.22315833,2023,3,3,Friday,,174.3965517,149.614094,10.21270833,24.02894792,72.15462708,16.98666667,174.3965517
Bollaram Industrial Area,04-03-2023,1.413120833,7.855266663,15.99931667,154.5416667,69.875,41.15,17.865125,2023,3,4,Saturday,,131.2974138,136.5746644,9.819083328,22.33140625,71.24292083,15.99931667,136.5746644
Bollaram Industrial Area,05-03-2023,1.450810417,6.250999917,16.09241667,154.7083333,71.83333333,42.17916667,13.29868333,2023,3,5,Sunday,,137.9827586,136.6854027,7.813749896,16.62335417,73.08971042,16.09241667,137.9827586
Bollaram Industrial Area,06-03-2023,1.506152083,5.545216667,16.23696667,157.875,75.625,44.2125,17.20575833,2023,3,6,Monday,,150.9267241,138.7894295,6.931520833,21.50719792,75.80145208,16.23696667,150.9267241
Bollaram Industrial Area,07-03-2023,1.405010417,5.536599958,16.20021667,139.25,48.70833333,52.09583333,14.236425,2023,3,7,Tuesday,,80.92097701,126.4144295,6.920749948,17.79553125,70.84551042,16.20021667,126.4144295
Bollaram Industrial Area,08-03-2023,1.320566667,2.395433333,14.81515,80.29166667,43.58333333,45.1,13.12947508,2023,3,8,Wednesday,,72.26149425,80.29166667,2.994291667,16.41184385,66.70776667,14.81515,80.29166667
Bollaram Industrial Area,09-03-2023,1.242802083,3.0832,15.52728333,108.0833333,49.58333333,46.83333333,10.90029171,2023,3,9,Thursday,,82.39942529,105.7063758,3.854,13.62536464,62.89730208,15.52728333,105.7063758
Bollaram Industrial Area,10-03-2023,1.256160417,5.308649958,15.38763333,133.5833333,58.83333333,47.15,12.46246675,2023,3,10,Friday,,98.02873563,122.6493289,6.635812448,15.57808344,63.55186042,15.38763333,122.6493289
Bollaram Industrial Area,11-03-2023,1.437929167,3.872016708,15.32311667,140.5833333,70.125,52.09583333,13.92966667,2023,3,11,Saturday,,132.1508621,127.3003356,4.840020885,17.41208333,72.45852917,15.32311667,132.1508621
Bollaram Industrial Area,12-03-2023,1.407872917,1.926216663,15.876,99.54166667,51.375,54.7375,9.655791625,2023,3,12,Sunday,,85.42672414,99.54166667,2.407770828,12.06973953,70.98577292,15.876,99.54166667
Bollaram Industrial Area,13-03-2023,1.376385417,3.9104,15.54443333,97.91666667,46.125,46.57083333,7.417875083,2023,3,13,Monday,,76.55603448,97.91666667,4.888,9.272343854,69.44288542,15.54443333,97.91666667
Bollaram Industrial Area,14-03-2023,1.658341667,6.68105,15.00053333,132.1666667,53.45833333,39.925,11.4756,2023,3,14,Tuesday,,88.94683908,121.7080537,8.3513125,14.3445,83.25874167,15.00053333,121.7080537
Bollaram Industrial Area,15-03-2023,1.391652088,4.2206,15.01115,123.6666667,66.54166667,46.55833333,9.184191708,2023,3,15,Wednesday,,119.9181034,116.0604027,5.27575,11.48023964,70.19095229,15.01115,119.9181034
Bollaram Industrial Area,16-03-2023,0.9818375,4.101533333,15.24471667,118,67.83333333,69.1,12.53670004,2023,3,16,Thursday,,124.3275862,112.295302,5.126916667,15.67087505,49.091875,15.24471667,124.3275862
Bollaram Industrial Area,17-03-2023,1.288645455,2.454254545,14.59754541,54.5,31.27272727,81.45,8.757945409,2023,3,17,Friday,,51.46081505,54.5,3.067818182,10.94743176,65.14362727,14.59754541,65.14362727
Bollaram Industrial Area,18-03-2023,1.36255,2.695035294,15.23381176,53.70588235,32.58823529,78.86470588,12.461953,2023,3,18,Saturday,,53.68356998,53.70588235,3.368794118,15.57744125,68.76495,15.23381176,68.76495
Bollaram Industrial Area,20-03-2023,1.094796154,6.760769231,16.12929231,133.8461538,48.38461538,47.46153846,21.59887692,2023,3,20,Monday,,80.37400531,122.8239546,8.450961538,26.99859615,55.64501154,16.12929231,122.8239546
Bollaram Industrial Area,21-03-2023,1.358733333,8.520316708,16.1553,249.5416667,53.91666667,51.58333333,29.32435,2023,3,21,Tuesday,,89.72126437,199.6954698,10.65039589,36.6554375,68.57793333,16.1553,199.6954698
Bollaram Industrial Area,22-03-2023,1.171716667,14.51046667,21.23986663,136.75,56.375,75.32,19.76571671,2023,3,22,Wednesday,,93.875,124.7533557,18.13808333,24.70714589,59.41411667,21.23986663,124.7533557
Bollaram Industrial Area,23-03-2023,1.19223125,5.164516667,16.02953333,179.2727273,68.82352941,54.20416667,21.55386671,2023,3,23,Thursday,,127.7079108,153.0067114,6.455645833,26.94233339,60.41933125,16.02953333,153.0067114
Bollaram Industrial Area,24-03-2023,1.386404167,4.002833333,15.54198329,97.6,51.125,61.6125,8.892716667,2023,3,24,Friday,,85.00431034,97.6,5.003541667,11.11589583,69.93380417,15.54198329,97.6
Bollaram Industrial Area,25-03-2023,1.207975,2.24895,16.71471667,91.5,39.29166667,67,6.266166667,2023,3,25,Saturday,,65.01005747,91.5,2.8111875,7.832708333,61.190775,16.71471667,91.5
Bollaram Industrial Area,26-03-2023,1.019527088,2.9422,16.85109996,98.5,42.16666667,62.70833333,7.456083379,2023,3,26,Sunday,,69.86781609,98.5,3.67775,9.320104224,51.95682729,16.85109996,98.5
Bollaram Industrial Area,27-03-2023,1.115147429,5.71022585,17.45642167,129.375,45.375,55.6135,13.907375,2023,3,27,Monday,,75.2887931,119.8531879,7.137782313,17.38421875,56.64222403,17.45642167,119.8531879
Bollaram Industrial Area,28-03-2023,1.509014583,8.441199958,18.34396667,187.7916667,70.08333333,57.12083333,11.3315,2023,3,28,Tuesday,,132.0086207,158.6669463,10.55149995,14.164375,75.94171458,18.34396667,158.6669463
Bollaram Industrial Area,29-03-2023,1.1192375,2.714249996,18.12183333,106.0833333,45.45833333,60.50833333,6.668991667,2023,3,29,Wednesday,,75.4295977,104.3775168,3.392812495,8.336239583,56.8426375,18.12183333,104.3775168
Bollaram Industrial Area,30-03-2023,1.119714583,3.154483333,19.16635,121.4583333,40.33333333,52.94583333,12.55744167,2023,3,30,Thursday,,66.77011494,114.5931208,3.943104167,15.69680208,56.86601458,19.16635,114.5931208
Bollaram Industrial Area,31-03-2023,1.239939588,4.44385,18.63633333,149.7916667,50.95833333,50.8375,17.93280833,2023,3,31,Friday,,84.72270115,133.4186242,5.5548125,22.41601042,62.75703979,18.63633333,133.4186242
Central University,01-03-2023,0.572977088,46.5911,18.30966667,101.5416667,36.375,44.9875,4.446358333,2023,3,1,Wednesday,,60.08189655,101.3598993,58.02471538,5.557947917,28.64885438,18.30966667,101.3598993
Central University,02-03-2023,0.67411875,55.14510042,18.14633333,109.3333333,40,46.74583333,3.351416667,2023,3,2,Thursday,,66.20689655,106.5369128,68.77204924,4.189270833,33.7059375,18.14633333,106.5369128
